codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0002,0003,0005,0014,0038,0041,0042,0048,0057,0128,0139,0141,0142,0144,0145,0147,0148,0161,0507,0564,0565,0566
04,Capital,001,0003 ,3626,385,5,8,2,9,84,2,2,6,2,5,4,4,5,0,3,0,0,1,3,6,0,7,68,9,23
04,Capital,001,0003 ,3627,385,3,3,3,11,78,6,5,4,9,3,0,0,7,3,1,0,3,0,0,4,5,2,76,18,10
04,Capital,001,0003 ,3628,384,1,1,1,10,87,3,4,4,2,3,3,1,0,0,5,2,2,0,1,8,11,2,72,13,6
04,Capital,001,0003 ,3629,384,5,3,3,8,88,8,2,1,7,3,3,0,2,2,2,0,1,0,1,8,5,3,79,11,3
04,Capital,001,0003 ,3630,384,4,12,2,10,87,0,4,2,0,0,2,5,1,6,1,5,1,0,1,8,5,1,79,7,15
04,Capital,001,0003 ,3631,384,0,5,3,13,64,0,5,2,2,0,3,2,4,6,6,5,2,1,2,3,1,5,85,12,14
04,Capital,001,0003 ,3632,384,5,4,0,16,83,0,4,1,1,0,1,2,1,0,0,6,0,0,1,10,3,2,90,11,7
04,Capital,001,0003 ,3633,384,8,3,2,24,79,6,2,0,7,5,1,2,1,6,1,0,4,0,0,4,6,7,67,16,5
04,Capital,001,0003 ,3634,384,9,6,0,12,77,2,5,3,7,6,3,0,2,2,2,3,1,3,3,6,16,2,66,14,0
04,Capital,001,0003 ,3635,384,2,7,4,10,80,1,5,5,6,1,3,5,0,9,0,0,1,1,8,9,8,1,69,11,4
04,Capital,001,0003 ,3636,384,3,5,2,12,92,1,0,4,4,1,1,1,2,1,0,0,2,3,5,10,10,1,76,10,2
04,Capital,001,0003 ,3637,384,5,1,1,19,79,2,2,6,2,2,1,1,5,2,1,4,4,0,3,16,13,3,72,14,0
04,Capital,001,0003 ,3638,384,2,8,2,5,91,2,1,2,0,1,2,3,3,3,5,7,1,0,3,8,6,5,75,11,10
04,Capital,001,0004 ,0060,376,5,3,2,4,115,0,2,3,0,2,2,8,4,1,7,2,0,0,1,14,4,3,61,5,6
04,Capital,001,0004 ,0061,376,2,9,0,11,110,3,2,2,1,0,5,3,2,1,1,1,1,1,1,6,6,3,60,19,3
04,Capital,001,0004 ,0062,376,8,6,0,9,132,3,4,1,7,1,2,2,4,0,0,1,3,3,2,8,1,4,57,8,4
04,Capital,001,0004 ,0063,376,1,5,0,13,137,2,4,5,11,1,4,1,1,2,0,1,3,0,4,11,5,7,39,12,7
04,Capital,001,0004 ,0064,376,0,0,1,5,47,4,2,2,7,1,8,0,2,3,1,0,2,0,1,12,0,5,61,15,7
04,Capital,001,0004 ,0065,376,1,3,1,14,116,5,6,1,11,1,2,5,5,2,0,0,1,2,1,7,6,2,46,11,4
04,Capital,001,0004 ,0066,376,3,3,1,10,119,2,2,3,5,2,3,0,11,0,1,3,1,2,1,10,2,2,45,14,0
04,Capital,001,0004 ,0067,376,8,4,2,9,103,3,2,1,5,1,0,2,2,2,0,2,1,0,3,8,7,0,70,10,1
04,Capital,001,0004 ,0068,376,8,0,2,4,131,2,1,5,8,6,3,1,5,2,3,3,1,1,3,8,7,1,54,10,3
04,Capital,001,0004 ,0069,376,9,3,0,10,123,3,1,3,4,2,2,0,5,1,0,0,0,4,1,9,4,4,56,11,2
04,Capital,001,0004 ,0070,376,0,2,3,16,136,3,2,2,0,3,1,1,1,0,1,2,1,1,2,8,11,3,49,16,0
04,Capital,001,0004 ,0071,376,5,5,3,3,114,3,4,2,3,2,4,0,1,1,0,11,1,1,2,10,4,0,53,16,9
04,Capital,001,0004 ,0072,376,7,3,2,6,118,3,2,3,5,2,1,0,1,3,3,3,4,0,1,6,3,1,67,10,7
04,Capital,001,0004 ,0073,376,3,3,2,10,122,1,3,5,2,2,0,10,1,0,1,1,4,0,2,12,6,2,52,9,4
04,Capital,001,0004 ,0074,376,0,0,1,9,121,1,2,1,6,8,4,1,3,0,0,1,1,1,2,9,5,2,58,16,5
04,Capital,001,0004 ,0075,376,5,6,1,2,132,2,1,0,2,5,3,3,0,4,3,2,1,1,4,9,6,2,57,15,1
04,Capital,001,0004 ,0076,376,2,2,1,9,101,2,3,2,0,1,2,2,1,4,0,5,1,4,0,9,7,3,71,12,2
04,Capital,001,0004 ,0077,376,6,1,1,15,112,1,4,3,3,3,1,3,5,2,1,5,0,1,4,7,5,0,55,14,6
04,Capital,001,0004 ,0078,376,3,4,1,7,114,1,1,1,14,3,1,2,5,3,4,3,2,1,0,5,5,5,65,6,1
04,Capital,001,0004 ,0079,376,6,2,1,13,114,4,5,5,5,1,0,2,1,0,0,7,1,0,5,7,12,2,62,12,5
04,Capital,001,0004 ,0080,376,7,4,1,7,116,2,1,3,3,1,6,0,1,3,0,1,0,1,1,7,6,2,57,13,4
04,Capital,001,0004 ,0081,376,3,7,2,10,99,1,5,3,0,1,10,2,4,3,0,1,1,0,0,8,6,1,54,11,6
04,Capital,001,0004 ,0082,376,11,2,1,11,107,4,2,1,2,2,2,1,0,4,1,3,3,3,0,6,3,1,64,6,8
04,Capital,001,0004 ,0083,376,5,1,2,12,126,3,3,4,1,8,1,1,3,0,0,1,0,0,1,5,2,5,48,10,13
04,Capital,001,0004 ,0084,376,1,6,2,13,103,5,3,5,0,1,2,0,3,3,0,2,0,0,0,15,0,3,61,7,11
04,Capital,001,0004 ,0085,376,2,2,1,10,106,3,0,3,4,2,1,1,3,4,2,1,1,1,1,11,5,3,71,14,6
