codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0033,0065,0171,0174,0188,0202,0211,0259,0502,0503,0510,0530,0546,0554,0560,0580
21,Caseros,002,0368A,0195,351,20,26,2,0,3,1,10,9,13,5,6,53,5,11,4,61,13,12,0
21,Caseros,002,0368A,0196,351,13,24,0,1,1,0,7,41,1,4,4,75,7,10,9,49,17,6,1
21,Caseros,002,0368A,0197,351,15,29,2,0,3,1,5,16,6,5,6,41,5,12,9,61,17,7,1
21,Caseros,002,0368A,0198,351,18,20,0,1,4,3,6,24,7,1,3,69,4,8,5,60,20,13,3
21,Caseros,002,0368A,0199,351,17,18,0,0,2,0,6,39,6,0,4,51,7,12,4,50,20,15,1
21,Caseros,002,0368A,0200,351,13,27,0,1,0,0,8,13,5,1,6,78,6,12,8,36,21,9,1
21,Caseros,002,0368A,0201,350,17,21,2,3,4,1,3,22,7,2,7,63,1,6,6,47,15,7,3
21,Caseros,002,0368A,0202,351,9,29,1,0,0,1,15,15,3,3,4,55,2,13,9,64,18,5,0
21,Caseros,002,0368A,0203,351,7,19,0,0,0,0,11,25,8,2,2,52,1,11,10,61,13,22,3
21,Caseros,002,0368A,0204,351,13,21,2,1,2,1,15,26,3,0,4,83,3,7,7,59,12,13,1
21,Caseros,002,0368A,0205,351,8,19,1,1,0,0,8,7,5,0,1,93,5,6,9,64,15,8,2
21,Caseros,002,0368A,0206,351,14,21,1,1,1,0,5,13,2,1,3,78,2,9,6,66,17,13,0
21,Caseros,002,0368A,0207,350,17,22,0,2,2,2,8,23,6,3,4,77,4,13,6,42,21,12,0
21,Caseros,002,0368A,0208,351,13,29,2,1,2,1,5,8,8,0,2,64,4,13,9,73,24,5,4
21,Caseros,002,0368A,0209,351,8,18,0,0,0,1,3,12,6,2,0,83,3,9,3,68,30,14,2
21,Caseros,002,0368A,0210,351,12,19,0,1,3,2,17,7,3,6,7,67,3,10,17,55,20,5,5
21,Caseros,002,0368A,0211,351,6,39,0,0,4,0,6,28,9,3,2,50,3,9,8,51,15,15,0
21,Caseros,002,0368A,0212,351,17,19,2,0,3,0,10,16,7,2,1,63,4,10,4,65,12,12,0
21,Caseros,002,0368A,0213,350,14,31,1,0,3,2,13,16,6,2,12,64,0,15,12,52,11,11,1
21,Caseros,002,0368A,0214,351,15,21,1,1,3,2,13,21,1,0,5,49,5,11,13,40,12,5,2
21,Caseros,002,0368A,0215,351,9,27,0,3,2,2,13,24,9,10,4,43,5,9,8,57,13,20,1
21,Caseros,002,0368A,0216,351,21,17,2,0,3,1,11,22,5,2,1,78,3,14,8,41,22,11,1
21,Caseros,002,0368A,0217,351,19,13,1,4,0,1,11,6,3,1,5,58,7,8,8,51,18,9,2
21,Caseros,002,0368A,0218,351,8,22,2,0,3,1,8,21,7,2,5,44,5,19,8,67,6,23,2
21,Caseros,002,0368A,0219,351,13,16,0,0,1,1,8,22,7,0,2,75,5,12,13,43,25,16,3
21,Caseros,002,0368A,0220,351,20,24,1,2,4,3,5,18,2,3,4,88,5,12,6,55,11,8,1
21,Caseros,002,0368A,0221,351,16,17,0,1,0,2,8,21,5,4,3,62,2,12,8,59,19,16,2
21,Caseros,002,0368A,0222,350,17,20,2,6,3,1,6,20,2,4,4,59,2,7,9,55,14,13,5
21,Caseros,002,0368A,0223,351,17,26,0,1,3,2,5,21,2,0,2,73,4,16,12,58,18,7,5
21,Caseros,002,0368A,0224,351,19,34,4,3,2,2,4,18,4,3,7,70,2,11,7,41,18,11,0
21,Caseros,002,0368A,0225,351,15,29,0,0,5,1,15,19,4,2,1,9,5,0,6,52,64,15,3
21,Caseros,002,0368A,0226,351,13,30,1,0,1,0,8,2,3,6,4,55,3,6,10,69,16,11,5
21,Caseros,002,0368A,0227,351,19,33,1,0,9,1,11,16,7,4,7,51,3,8,1,42,12,23,1
21,Caseros,002,0368A,0228,351,8,28,2,3,0,1,8,17,8,1,5,49,1,14,5,61,21,14,2
21,Caseros,002,0368A,0229,351,15,23,1,4,3,8,11,32,5,0,2,68,6,10,7,42,22,9,1
21,Caseros,002,0368A,0230,351,8,12,3,3,3,0,11,21,5,5,5,75,4,12,5,52,20,19,1
21,Caseros,002,0368A,0231,351,12,24,3,1,5,3,11,14,10,0,6,88,4,12,6,44,12,10,2
21,Caseros,002,0368A,0232,351,15,31,0,3,3,0,6,30,2,3,2,75,1,8,6,53,14,10,3
21,Caseros,002,0368A,0233,351,20,21,1,0,4,0,6,8,9,1,0,79,0,18,8,55,15,13,2
21,Caseros,002,0368A,0234,351,19,20,1,2,4,1,13,28,4,5,8,82,4,15,6,32,15,11,2
21,Caseros,002,0368A,0235,351,9,11,1,1,1,2,6,20,6,5,1,58,3,9,9,57,25,17,3
21,Caseros,002,0368A,0236,351,15,17,0,0,1,3,3,17,2,2,1,114,2,11,4,39,27,8,3
21,Caseros,002,0368A,0237,351,19,13,0,0,1,0,5,18,2,3,1,105,6,7,5,40,16,15,1
21,Caseros,002,0368A,0238,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
