codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0014,0022,0048,0058,0101,0233,0234,0236,0237,0238,0239,0240,0241
23,Capital                                 ,001,0009 ,0107,394,2,2,4,4,6,2,173,10,8,0,0,21,2,29,21
23,Capital                                 ,001,0009 ,0108,394,5,5,6,2,8,1,163,13,7,0,0,35,1,24,23
23,Capital                                 ,001,0009 ,0109,393,1,2,5,3,5,3,188,12,4,1,0,19,0,25,17
23,Capital                                 ,001,0009 ,0110,393,3,5,3,2,7,2,158,15,8,0,1,14,2,32,26
23,Capital                                 ,001,0009 ,0111,393,2,2,0,6,9,2,166,14,8,0,2,28,5,25,23
23,Capital                                 ,001,0009 ,0112,393,1,7,2,5,2,2,182,12,10,1,1,23,1,17,19
23,Capital                                 ,001,0009 ,0113,393,3,6,1,3,0,0,173,8,3,0,2,25,3,20,23
23,Capital                                 ,001,0009 ,0114,393,2,3,2,0,5,0,169,15,7,0,2,25,1,20,18
23,Capital                                 ,001,0009 ,0115,393,0,8,1,3,4,1,154,20,6,0,1,35,1,26,21
23,Capital                                 ,001,0009 ,0116,393,2,7,3,2,11,2,174,14,4,0,1,28,1,16,28
23,Capital                                 ,001,0009 ,0117,393,5,5,3,0,10,0,140,12,10,0,0,30,3,26,36
23,Capital                                 ,001,0009 ,0118,393,2,4,0,3,5,2,150,20,3,0,1,20,1,28,25
23,Capital                                 ,001,0009 ,0119,393,1,4,4,4,5,0,182,13,7,0,1,23,2,26,9
23,Capital                                 ,001,0009 ,0120,393,5,5,2,3,14,3,172,14,5,0,0,19,4,18,17
23,Capital                                 ,001,0009 ,0121,393,2,2,0,2,2,2,167,18,6,0,1,27,3,19,32
23,Capital                                 ,001,0009 ,0122,393,4,7,5,3,8,1,162,16,5,1,0,33,3,20,23
23,Capital                                 ,001,0009 ,1357,399,7,5,5,1,4,3,141,16,6,0,1,37,4,23,21
23,Capital                                 ,001,0009 ,1358,399,1,5,4,2,12,2,165,14,8,0,1,20,1,19,21
23,Capital                                 ,001,0009 ,1359,399,5,6,3,0,6,4,146,11,8,1,2,25,3,33,21
23,Capital                                 ,001,0009 ,1360,399,4,2,3,3,4,1,142,17,8,0,2,34,3,29,16
23,Capital                                 ,001,0009 ,1361,399,6,8,3,6,10,2,126,10,6,0,0,27,3,17,26
23,Capital                                 ,001,0009 ,1362,398,3,2,3,2,2,2,153,8,3,1,3,41,3,22,20
23,Capital                                 ,001,0009 ,1363,398,3,6,2,1,6,2,157,15,3,0,1,34,4,17,24
23,Capital                                 ,001,0009 ,1364,398,2,4,3,3,7,3,133,13,13,2,0,33,1,15,20
23,Capital                                 ,001,0009 ,1365,398,5,7,2,3,7,5,144,20,6,0,1,34,5,19,12
23,Capital                                 ,001,0009 ,1366,398,4,2,5,9,4,3,102,24,6,1,0,43,2,17,27
23,Capital                                 ,001,0009 ,1367,398,2,3,1,2,12,2,133,22,1,1,0,27,1,24,15
23,Capital                                 ,001,0009 ,1368,398,6,5,1,3,12,1,131,7,6,0,0,34,2,28,13
23,Capital                                 ,001,0009 ,1369,398,5,2,2,3,10,3,135,16,3,0,1,40,7,18,27
23,Capital                                 ,001,0009 ,1370,398,4,3,4,1,8,3,134,23,2,3,1,43,1,20,19
23,Capital                                 ,001,0009A,0123,375,1,3,3,0,7,0,187,12,5,2,1,20,0,17,17
23,Capital                                 ,001,0009A,0124,375,2,7,6,6,9,1,164,15,4,1,0,19,3,14,23
23,Capital                                 ,001,0009A,0125,375,3,4,2,7,4,0,179,10,5,1,1,20,2,17,17
23,Capital                                 ,001,0009A,0126,375,2,2,3,4,3,2,170,9,7,0,0,25,2,18,14
23,Capital                                 ,001,0009A,0127,375,3,4,2,1,6,3,174,19,6,1,2,14,2,14,22
23,Capital                                 ,001,0009A,0128,375,3,2,4,3,13,2,160,11,11,1,0,15,3,16,21
23,Capital                                 ,001,0009A,0129,375,4,13,1,1,8,2,182,14,3,0,1,19,1,16,19
23,Capital                                 ,001,0009A,0130,375,3,4,3,3,7,1,172,13,9,0,0,26,1,17,19
23,Capital                                 ,001,0009A,0131,375,1,3,5,2,10,2,169,14,2,1,1,22,3,16,17
