codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0003,0005,0022,0041,0054,0058,0071,0072,0160,0162,0163,0164
17,Capital                                 ,001,0002D,3075,412,3,5,4,22,5,8,6,16,3,0,5,59,94,67,3
17,Capital                                 ,001,0002D,3076,412,5,7,5,5,2,4,4,21,4,0,3,60,98,75,4
17,Capital                                 ,001,0002D,3077,412,2,6,5,10,4,6,7,20,1,0,5,52,93,65,8
17,Capital                                 ,001,0002D,3078,412,0,0,6,10,6,2,3,20,2,0,7,64,85,70,4
17,Capital                                 ,001,0002D,3079,412,4,12,7,9,4,3,3,21,4,0,1,5,76,87,1
17,Capital                                 ,001,0002D,3080,412,2,3,7,7,2,5,4,20,4,0,2,55,78,72,4
17,Capital                                 ,001,0002D,3081,412,4,1,7,11,6,7,7,23,3,0,2,51,93,51,4
17,Capital                                 ,001,0002D,3082,412,0,5,18,7,5,3,8,25,0,0,1,56,73,70,4
17,Capital                                 ,001,0002D,3083,411,2,2,6,9,3,2,4,28,3,0,1,64,84,58,3
17,Capital                                 ,001,0002D,3084,411,5,4,9,8,2,6,11,28,5,0,6,47,89,73,5
17,Capital                                 ,001,0002D,3085,411,7,10,13,9,4,5,7,19,7,0,0,59,79,63,4
17,Capital                                 ,001,0002E,1077,352,6,10,3,14,2,5,6,24,3,0,3,32,45,34,5
17,Capital                                 ,001,0002E,1078,352,7,2,6,12,2,4,2,16,3,0,1,49,59,51,5
17,Capital                                 ,001,0002E,1079,352,8,1,3,15,2,4,5,9,3,0,3,43,67,48,4
17,Capital                                 ,001,0002E,1080,351,4,6,3,17,4,5,4,22,2,0,2,44,58,24,5
17,Capital                                 ,001,0002E,3086,378,4,10,6,21,1,7,5,25,8,0,4,40,66,46,0
17,Capital                                 ,001,0002E,3087,377,4,6,4,14,5,4,6,22,5,0,3,43,70,53,2
17,Capital                                 ,001,0002E,3088,377,5,6,5,19,1,4,4,20,5,0,4,48,66,60,5
17,Capital                                 ,001,0002E,3089,377,2,5,4,20,2,5,1,25,2,0,7,51,71,47,7
17,Capital                                 ,001,0002E,3090,377,9,5,8,7,4,4,12,28,4,0,3,44,74,53,2
17,Capital                                 ,001,0002F,1081,407,8,1,7,15,2,7,5,19,8,0,1,53,74,44,3
17,Capital                                 ,001,0002F,1082,406,5,5,5,7,9,2,3,28,2,0,1,44,80,53,3
17,Capital                                 ,001,0002F,1083,406,7,2,5,14,4,2,3,17,6,0,4,40,68,45,2
17,Capital                                 ,001,0002F,1084,406,4,4,5,17,1,6,2,19,9,0,2,59,69,47,5
17,Capital                                 ,001,0002F,1085,406,6,0,7,18,1,2,6,23,1,0,2,41,74,51,3
17,Capital                                 ,001,0002F,1086,406,3,3,3,12,1,5,4,15,4,0,4,57,63,38,6
17,Capital                                 ,001,0002F,1087,406,7,1,9,4,3,3,1,15,4,0,3,54,49,44,4
17,Capital                                 ,001,0002F,3091,410,5,4,3,12,3,5,8,21,5,0,0,47,67,70,2
17,Capital                                 ,001,0002F,3092,410,2,11,8,17,3,6,4,25,5,0,2,47,81,54,3
17,Capital                                 ,001,0002F,3093,410,4,3,3,12,2,8,5,27,0,0,0,43,78,69,6
