codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00037,00047,00052,00081,00086,00109
24,002,Río Grande,05670,098403,0,0,24,59,13,56,2,10,33
24,002,Río Grande,05670,098404,0,0,15,60,19,65,4,3,31
24,002,Río Grande,05670,098405,0,0,26,57,12,58,9,3,44
24,002,Río Grande,05670,098406,0,0,23,47,18,58,6,2,39
24,002,Río Grande,05670,098407,0,0,9,54,12,62,8,2,34
24,002,Río Grande,05670,098408,0,0,27,60,9,57,5,6,39
24,002,Río Grande,05670,098409,0,0,21,65,13,43,7,8,39
24,002,Río Grande,05670,098410,0,0,24,61,9,59,3,4,42
24,002,Río Grande,05670,098411,0,0,10,16,3,19,2,1,9
24,002,Río Grande,05671,098412,0,0,40,88,18,38,6,3,41
24,002,Río Grande,05671,098413,0,0,31,82,6,30,10,6,33
24,002,Río Grande,05671,098414,0,0,31,72,19,29,2,5,53
24,002,Río Grande,05671,098415,0,0,27,80,10,49,4,4,42
24,002,Río Grande,05671,098416,0,0,16,82,14,44,11,2,45
24,002,Río Grande,05671,098417,0,0,30,83,10,39,5,6,41
24,002,Río Grande,05671,098418,0,0,36,68,19,32,7,12,36
24,002,Río Grande,05671,098419,0,0,30,89,10,35,9,7,45
24,002,Río Grande,05671,098420,0,0,21,87,16,28,7,6,40
24,002,Río Grande,05671,098421,0,0,31,91,17,33,5,5,40
24,002,Río Grande,05671,098422,0,0,38,67,20,41,5,9,40
24,002,Río Grande,05671,098423,0,0,32,77,7,42,2,4,56
24,002,Río Grande,05671,098424,0,0,45,68,10,31,3,2,52
24,002,Río Grande,05671,098425,0,0,26,37,7,24,3,4,38
24,002,Río Grande,05671,098426,0,0,18,51,15,17,0,1,35
24,002,Río Grande,05672,098427,0,0,44,90,13,26,5,6,43
24,002,Río Grande,05672,098428,0,0,33,83,10,38,10,3,44
24,002,Río Grande,05672,098429,0,0,41,69,16,39,5,7,39
24,002,Río Grande,05672,098430,0,0,30,70,14,48,6,8,48
24,002,Río Grande,05672,098431,0,0,32,90,11,31,10,11,49
24,002,Río Grande,05672,098432,0,0,25,88,13,35,3,3,44
24,002,Río Grande,05672,098433,0,0,28,67,14,42,8,11,36
24,002,Río Grande,05672,098434,0,0,41,71,15,37,5,2,41
24,002,Río Grande,05672,098435,0,0,19,88,8,35,9,7,40
24,002,Río Grande,05672,098436,0,0,37,85,16,29,5,11,42
24,002,Río Grande,05672,098437,0,0,34,100,9,25,6,7,54
24,002,Río Grande,05672,098438,0,0,27,85,18,32,6,8,40
24,002,Río Grande,05672,098439,0,0,20,98,15,29,6,1,33
