codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0005,0012,0014,0017,0038,0050,0056,0057,0060,0175,0187,0209,0210,0211,0212,0213,0442
22,Capital                                 ,001,0007B,0126,450,0,0,6,7,1,0,0,5,22,0,0,4,18,17,133,0,12,18,15,0
22,Capital                                 ,001,0007B,0127,450,2,4,8,11,0,2,0,3,17,0,1,1,8,8,144,10,7,16,30,2
22,Capital                                 ,001,0007B,0128,450,2,0,7,28,0,2,0,3,13,1,0,0,5,14,122,12,10,16,18,9
22,Capital                                 ,001,0007B,0129,450,20,2,7,15,1,2,0,2,20,2,1,0,13,18,129,5,10,16,24,7
22,Capital                                 ,001,0007B,0130,450,4,1,3,17,2,0,2,1,11,4,0,1,16,7,172,8,9,19,37,4
22,Capital                                 ,001,0007B,0131,450,3,2,7,14,1,0,0,4,10,2,1,0,5,10,130,8,6,9,48,10
22,Capital                                 ,001,0007B,0132,450,4,7,3,7,1,4,0,4,7,0,0,0,27,10,157,4,14,9,40,2
22,Capital                                 ,001,0007B,0133,450,0,0,3,11,1,3,0,7,6,2,1,0,9,15,121,8,11,17,24,5
22,Capital                                 ,001,0007B,0134,450,0,0,8,14,0,2,0,7,8,2,2,1,8,10,151,0,11,17,26,2
22,Capital                                 ,001,0007B,0135,450,22,5,9,12,1,2,0,6,7,1,1,1,16,14,111,4,11,12,35,10
22,Capital                                 ,001,0007B,0136,450,3,0,9,8,0,1,0,5,12,1,4,0,7,9,150,5,8,14,29,8
22,Capital                                 ,001,0007B,0137,450,0,0,9,1,2,2,0,5,12,2,0,1,13,15,129,6,19,19,34,4
22,Capital                                 ,001,0007B,0138,450,0,0,11,9,4,3,0,1,11,1,1,1,10,9,122,6,15,23,25,6
22,Capital                                 ,001,0007B,0139,450,0,0,10,7,0,0,0,4,5,1,1,2,16,11,137,9,12,14,31,8
22,Capital                                 ,001,0007B,0140,450,0,0,8,13,1,2,0,3,8,1,0,1,16,19,124,4,7,12,30,4
22,Capital                                 ,001,0007B,0141,450,0,0,7,9,1,1,0,1,4,6,0,0,13,5,131,7,9,20,38,5
22,Capital                                 ,001,0007B,0142,900,0,0,20,24,2,4,0,10,22,2,8,4,26,28,286,24,16,36,82,8
22,Capital                                 ,001,0007B,0143,900,6,3,24,26,0,2,0,12,44,0,2,0,24,28,272,26,24,30,72,8
22,Capital                                 ,001,0007B,0144,900,0,0,22,42,2,2,0,2,32,2,2,4,4,22,292,6,28,28,94,28
22,Capital                                 ,001,0007B,0145,900,3,0,14,42,0,2,0,10,34,6,0,2,32,22,332,14,24,34,68,22
22,Capital                                 ,001,0007B,0146,900,0,0,10,16,4,2,0,6,34,4,2,0,30,24,308,20,24,44,54,18
