codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00001,00062,00008,00005,00065,00063,00009,00002,00051,00064,00004
04,001,CAPITAL,01406,045762,0,0,11,16,7,15,48,0,37,98,7,1,0,5
04,001,CAPITAL,01406,045763,0,0,16,7,9,9,41,0,63,119,1,0,0,4
04,001,CAPITAL,01406,045764,0,0,2,9,14,13,52,0,35,96,4,2,0,5
04,001,CAPITAL,01406,045765,0,0,9,8,9,9,44,2,52,87,3,1,0,6
04,001,CAPITAL,01406,045766,0,0,1,9,6,7,29,1,43,117,3,3,0,5
04,001,CAPITAL,01406,045767,0,0,2,9,12,7,47,0,53,98,2,1,0,6
04,001,CAPITAL,01406,045768,0,0,0,8,6,8,40,2,43,126,1,0,0,4
04,001,CAPITAL,01406,045769,0,0,16,9,9,7,38,1,37,121,2,1,0,5
04,001,CAPITAL,01406,045770,0,0,20,14,9,14,43,1,45,101,1,1,0,10
04,001,CAPITAL,01406,045771,0,0,16,9,5,13,33,0,38,106,2,1,0,9
04,001,CAPITAL,01406,045772,0,0,15,17,9,11,57,0,58,81,4,0,0,6
04,001,CAPITAL,01406,045773,0,0,17,9,5,8,50,0,46,105,2,4,0,7
04,001,CAPITAL,01407,045774,0,0,26,15,13,9,41,0,32,84,1,0,0,3
04,001,CAPITAL,01407,045775,0,0,0,14,4,11,50,1,44,103,3,1,0,2
04,001,CAPITAL,01407,045776,0,0,7,16,7,12,37,0,42,103,1,1,0,9
04,001,CAPITAL,01407,045777,0,0,11,5,7,7,45,6,50,98,3,1,0,4
04,001,CAPITAL,01407,045778,0,0,10,18,8,8,40,0,45,95,2,0,1,3
04,001,CAPITAL,01407,045779,0,0,20,10,7,6,46,2,45,84,3,0,0,7
04,001,CAPITAL,01407,045780,0,0,7,7,7,14,57,1,47,95,0,0,1,6
04,001,CAPITAL,01407,045781,0,0,6,10,7,15,38,0,56,102,1,1,0,7
04,001,CAPITAL,01407,045782,0,0,6,10,3,8,48,0,61,93,4,0,0,8
04,001,CAPITAL,01407,045783,0,0,10,20,6,15,41,3,46,97,3,1,0,6
04,001,CAPITAL,01407,045784,0,0,11,7,12,12,50,1,37,88,0,3,0,6
04,001,CAPITAL,01407,045785,0,0,13,12,5,13,42,1,40,93,1,1,0,4
04,001,CAPITAL,01407,045786,0,0,20,9,3,12,44,2,35,87,1,0,0,6
04,001,CAPITAL,01407,045787,0,0,15,11,7,5,61,0,40,90,2,0,1,3
04,001,CAPITAL,01407,045788,0,0,15,7,4,11,42,1,43,93,2,1,0,7
04,001,CAPITAL,01407,045789,0,0,10,9,10,10,43,0,42,88,1,1,1,3
04,001,CAPITAL,01408,045790,0,0,4,2,0,3,8,0,12,23,0,0,0,0
04,001,CAPITAL,01409,045791,0,0,12,5,8,3,48,1,40,34,0,1,0,1
04,001,CAPITAL,01409,045792,0,0,1,5,16,2,32,1,35,58,0,0,0,1
04,001,CAPITAL,01409,045793,0,0,9,4,8,3,28,0,52,48,4,1,3,4
04,001,CAPITAL,01410,045794,0,0,2,7,13,13,36,0,35,121,3,1,0,11
04,001,CAPITAL,01410,045795,0,0,11,4,9,15,38,2,29,128,4,0,0,7
04,001,CAPITAL,01410,045796,0,0,3,7,9,12,39,1,25,135,1,0,0,6
04,001,CAPITAL,01410,045797,0,0,5,12,5,11,40,1,34,162,2,0,0,4
04,001,CAPITAL,01410,045798,0,0,9,14,8,13,30,1,25,152,3,1,0,8
04,001,CAPITAL,01410,045799,0,0,1,10,13,17,43,2,29,139,1,1,0,6
04,001,CAPITAL,01410,045800,0,0,7,6,14,13,33,0,31,152,2,9,0,13
04,001,CAPITAL,01410,045801,0,0,7,14,9,9,36,3,26,133,1,1,0,12
04,001,CAPITAL,01410,045802,0,0,2,9,12,9,47,2,27,144,1,0,0,7
04,001,CAPITAL,01410,045803,0,0,3,12,11,11,38,0,36,141,0,0,0,6
04,001,CAPITAL,01410,045804,0,0,14,9,9,16,37,0,28,151,3,1,0,4
04,001,CAPITAL,01410,045805,0,0,31,11,8,4,37,0,39,112,1,3,1,2
04,001,CAPITAL,01410,045806,0,0,4,17,5,11,48,0,37,121,1,0,0,6
04,001,CAPITAL,01410,045807,0,0,8,9,12,7,48,6,22,146,4,0,0,0
04,001,CAPITAL,01410,045808,0,0,6,17,7,9,31,2,37,136,3,1,1,10
04,001,CAPITAL,01410,045809,0,0,6,9,8,11,39,4,29,125,3,0,0,9
04,001,CAPITAL,01410,045810,0,0,7,13,12,14,23,1,35,139,4,1,0,2
04,001,CAPITAL,01411,045811,0,0,20,13,10,5,47,1,50,78,4,0,0,5
04,001,CAPITAL,01411,045812,0,0,13,13,19,17,40,0,39,86,3,1,4,6
04,001,CAPITAL,01411,045813,0,0,13,13,6,10,50,0,47,70,3,1,0,5
04,001,CAPITAL,01411,045814,0,0,7,7,6,13,66,2,45,78,2,0,0,7
04,001,CAPITAL,01411,045815,0,0,18,16,8,16,53,1,38,78,5,1,1,4
04,001,CAPITAL,01411,045816,0,0,11,7,10,9,55,3,41,98,3,0,0,4
04,001,CAPITAL,01411,045817,0,0,7,6,11,15,53,2,32,99,0,0,0,7
04,001,CAPITAL,01411,045818,0,0,9,5,5,10,59,4,32,85,2,1,0,2
04,001,CAPITAL,01411,045819,0,0,13,11,4,5,40,1,38,103,1,2,1,5
04,001,CAPITAL,01411,045820,0,0,4,10,13,10,56,1,45,98,1,0,1,4
04,001,CAPITAL,01411,045821,0,0,22,6,6,7,48,0,46,85,3,1,1,2
04,001,CAPITAL,01411,045822,0,0,5,5,20,8,65,1,33,66,1,2,0,4
04,001,CAPITAL,01411,045823,0,0,8,8,10,13,46,0,37,81,1,0,1,2
04,001,CAPITAL,01411,045824,0,0,13,11,11,9,52,0,51,87,5,2,0,3
04,001,CAPITAL,01411,045825,0,0,21,6,5,17,45,0,36,73,4,0,0,2
04,001,CAPITAL,01411,045826,0,0,10,9,14,5,71,2,38,76,3,0,1,2
04,001,CAPITAL,01411,045827,0,0,8,9,10,9,49,1,37,83,4,1,0,5
04,001,CAPITAL,01411,045828,0,0,11,6,7,14,65,1,39,95,3,0,0,3
04,001,CAPITAL,01411,045829,0,0,19,11,4,22,61,2,37,84,0,2,0,1
04,001,CAPITAL,01411,045830,0,0,12,6,8,9,48,1,34,90,3,2,1,4
04,001,CAPITAL,01411,045831,0,0,7,6,8,17,39,1,30,118,3,0,0,7
04,001,CAPITAL,01411,045832,0,0,9,13,7,10,50,2,37,71,2,0,0,3
04,001,CAPITAL,01411,045833,0,0,13,7,10,12,40,5,51,75,4,1,0,9
04,001,CAPITAL,01411,045834,0,0,17,12,1,14,44,1,44,76,4,0,0,6
04,001,CAPITAL,01411,045835,0,0,12,8,13,13,57,1,42,79,5,0,2,6
04,001,CAPITAL,01411,045836,0,0,0,9,10,17,35,2,40,92,4,2,0,7
04,001,CAPITAL,01411,045837,0,0,8,6,6,11,66,1,41,90,2,1,1,7
04,001,CAPITAL,01411,045838,0,0,14,6,7,14,80,1,44,72,1,0,1,3
04,001,CAPITAL,01411,045839,0,0,10,11,10,14,48,1,32,81,5,3,1,12
04,001,CAPITAL,01411,045840,0,0,7,11,4,12,66,2,48,79,4,1,0,6
04,001,CAPITAL,01411,045841,0,0,11,10,7,16,44,0,42,105,4,0,1,4
04,001,CAPITAL,01411,045842,0,0,10,8,7,16,48,0,45,89,1,2,0,7
