codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0014,0022,0540,0045,0112,0119,0124,0130,0160,0501,0527,0536,0563
23,Capital,001,0009 ,0136,337,2,3,1,1,4,540,0,23,9,1,29,0,103,23,58,7
23,Capital,001,0009 ,0137,337,6,4,0,4,1,540,0,7,9,0,28,0,103,20,52,6
23,Capital,001,0009 ,0138,337,13,0,0,5,1,540,0,12,5,0,19,1,113,30,45,3
23,Capital,001,0009 ,0139,337,0,1,1,4,3,540,2,8,9,3,19,1,133,28,41,3
23,Capital,001,0009 ,0140,336,2,2,1,4,1,540,0,13,7,4,19,4,136,22,40,6
23,Capital,001,0009 ,0141,336,3,5,0,2,1,540,1,13,8,3,23,2,118,34,50,4
23,Capital,001,0009 ,0142,336,2,9,0,6,0,540,3,10,5,1,22,2,121,31,43,4
23,Capital,001,0009 ,1670,338,0,5,0,7,4,540,1,12,8,2,15,1,106,43,46,9
23,Capital,001,0009 ,1671,338,2,11,0,5,1,540,1,6,7,1,30,2,114,29,33,3
23,Capital,001,0009 ,1672,338,5,3,1,7,2,540,1,17,4,0,28,1,93,39,44,6
23,Capital,001,0009 ,1673,338,2,7,3,2,3,540,1,9,5,2,18,3,118,24,36,5
23,Capital,001,0009 ,1674,338,4,6,2,3,4,540,0,17,11,1,19,0,108,45,40,7
23,Capital,001,0009 ,1675,338,3,5,2,4,7,540,2,6,9,0,25,1,99,34,36,7
23,Capital,001,0009 ,1676,338,3,5,2,6,2,540,4,14,6,4,25,0,101,25,44,2
23,Capital,001,0009 ,1677,338,4,6,0,2,5,540,0,8,7,2,23,3,116,39,41,0
23,Capital,001,0009 ,1678,338,1,4,1,4,3,540,1,13,7,2,36,0,102,33,37,6
23,Capital,001,0009 ,1679,337,3,6,4,2,1,540,0,11,10,6,28,0,92,33,51,2
23,Capital,001,0009 ,1680,337,3,2,3,3,1,540,0,14,12,1,18,3,109,36,38,6
23,Capital,001,0009 ,1681,337,2,5,0,3,2,540,0,0,17,5,19,0,93,21,54,0
