codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0022,0079,0083,0178,0185,0187,0262,0327,0503,0515,0525,0531,0567,0576,0580
01,Comuna 01,001,0006 ,0106,345,12,2,0,1,0,0,0,2,0,0,0,0,0,0,19,1,13,260
01,Comuna 01,001,0006 ,0107,346,2,0,0,3,0,0,1,0,3,0,0,2,4,0,17,0,20,176
01,Comuna 01,001,0006 ,0108,345,0,1,0,1,1,0,2,1,6,1,0,2,7,0,17,1,17,177
01,Comuna 01,001,0006 ,0109,345,0,0,0,0,0,0,0,0,3,2,0,6,4,0,15,0,23,167
01,Comuna 01,001,0006 ,0110,345,1,1,0,1,0,0,0,0,5,3,0,2,3,2,9,1,15,191
01,Comuna 01,001,0006 ,0111,346,0,1,0,0,0,0,0,0,5,0,0,4,6,1,13,1,11,200
01,Comuna 01,001,0006 ,0112,345,0,0,0,0,0,1,0,0,3,1,0,3,6,1,21,1,13,196
01,Comuna 01,001,0006 ,0113,345,2,1,0,1,0,0,1,0,3,0,0,2,4,1,10,2,16,188
01,Comuna 01,001,0006 ,0114,344,0,1,1,0,0,0,0,0,2,2,0,0,4,0,24,4,10,183
01,Comuna 01,001,0006 ,0115,344,1,2,1,3,0,1,1,0,6,0,0,0,3,1,17,0,12,203
01,Comuna 01,001,0006 ,0116,344,5,2,0,1,0,0,1,1,2,3,1,4,6,1,20,1,9,178
01,Comuna 01,001,0006 ,0117,344,1,1,0,0,0,0,0,1,3,0,0,2,3,0,22,0,17,200
01,Comuna 01,001,0006 ,0118,344,0,0,2,1,1,0,0,0,5,1,0,0,2,1,10,1,13,220
01,Comuna 01,001,0006 ,0119,344,1,0,0,0,0,1,0,0,0,1,0,3,2,0,19,2,10,194
01,Comuna 01,001,0006 ,0120,344,0,1,0,0,1,0,0,0,1,2,0,2,4,4,22,0,14,172
01,Comuna 01,001,0006 ,0121,344,1,2,0,3,0,0,1,0,1,2,1,1,2,4,11,1,15,212
01,Comuna 01,001,0006 ,0122,345,3,1,0,0,0,0,0,1,3,3,0,8,1,0,20,0,12,187
01,Comuna 01,001,0006 ,0123,342,2,1,0,2,1,0,0,0,5,1,0,5,6,0,18,2,14,176
01,Comuna 01,001,0006 ,0124,344,0,1,0,0,0,0,0,0,4,1,0,4,3,4,15,3,12,192
01,Comuna 01,001,0006 ,0125,344,2,0,0,0,0,0,0,0,1,1,1,2,6,2,14,0,15,191
