codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0014,0038,0045,0187,0188,0243,0325,0326,0327,0328,0329
10,General Belgrano                        ,001,0010A,0149,400,0,4,13,2,2,0,70,1,3,9,35,30,14,78
10,General Belgrano                        ,001,0010A,0150,400,0,7,5,3,2,0,51,2,4,28,34,32,7,97
10,General Belgrano                        ,001,0010A,0151,400,0,0,1,3,3,0,77,2,3,11,46,22,14,90
10,General Belgrano                        ,001,0010A,0152,400,49,0,2,1,2,0,78,1,3,14,57,21,9,76
10,General Belgrano                        ,001,0010A,0153,400,45,10,0,0,0,0,87,5,3,15,46,17,8,74
10,General Belgrano                        ,001,0010A,0154,400,1,23,0,0,4,0,62,1,4,18,44,37,10,77
10,General Belgrano                        ,001,0010A,0155,399,0,4,0,0,2,0,84,0,0,16,50,24,6,81
10,General Belgrano                        ,001,0010A,0156,399,46,4,1,0,1,0,62,2,3,18,42,18,14,88
10,General Belgrano                        ,001,0010A,0157,399,0,0,1,2,1,0,72,0,18,21,35,24,7,74
10,General Belgrano                        ,001,0010A,0158,399,3,0,1,4,3,0,89,2,3,17,42,17,12,76
10,General Belgrano                        ,001,0010A,0159,399,0,0,1,0,1,0,72,0,4,21,47,29,10,95
10,General Belgrano                        ,001,0010A,0704,395,6,11,1,2,5,0,67,1,4,14,33,21,8,54
10,General Belgrano                        ,001,0010A,0705,395,36,5,3,1,2,0,72,4,4,13,46,17,11,65
10,General Belgrano                        ,001,0010A,0706,395,41,14,2,6,3,0,87,0,1,12,35,38,8,56
10,General Belgrano                        ,001,0010A,0707,395,33,8,0,0,5,0,65,2,2,15,53,24,3,72
10,General Belgrano                        ,001,0010A,0708,395,3,4,3,0,3,1,68,0,4,20,33,27,16,64
10,General Belgrano                        ,001,0010A,0709,395,0,0,2,2,5,0,69,0,1,12,41,26,11,73
10,General Belgrano                        ,001,0010A,0710,395,4,1,0,0,5,4,67,1,4,26,34,15,15,67
10,General Belgrano                        ,001,0010A,0711,395,0,0,2,2,9,0,74,1,3,26,50,16,13,75
10,General Belgrano                        ,001,0010A,0712,395,2,20,4,4,3,0,72,0,5,10,32,26,9,53
10,General Belgrano                        ,001,0010A,0713,395,0,0,2,2,0,0,73,2,1,17,39,23,12,75
10,General Belgrano                        ,001,0010A,0714,395,1,4,0,2,1,1,75,1,2,16,44,29,10,60
10,General Belgrano                        ,001,0010A,0715,395,35,16,0,4,2,0,71,0,0,13,37,24,15,72
