codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0501,0548
09,Formosa,001,0005 ,0635,431,14,6,177,105
09,Formosa,001,0005 ,0636,431,9,14,173,83
09,Formosa,001,0005 ,0637,431,5,2,159,98
09,Formosa,001,0005 ,0638,431,7,3,160,90
09,Formosa,001,0005 ,0639,431,6,11,170,96
09,Formosa,001,0005 ,0640,431,3,10,168,95
09,Formosa,001,0005 ,0641,431,4,11,186,97
09,Formosa,001,0005 ,0642,431,9,4,161,196
09,Formosa,001,0005 ,0643,431,4,9,151,111
09,Formosa,001,0005 ,0644,431,15,11,166,88
09,Formosa,001,0005 ,0645,430,8,13,160,86
09,Formosa,001,0005A,0148,341,5,5,215,49
09,Formosa,001,0005A,0149,340,8,3,216,42
09,Formosa,001,0005A,0646,363,4,7,212,51
09,Formosa,001,0005A,0647,362,14,8,204,63
09,Formosa,001,0006 ,0150,308,10,0,125,107
09,Formosa,001,0006 ,0151,308,8,2,118,108
09,Formosa,001,0006 ,0648,308,14,2,120,97
09,Formosa,001,0006 ,0649,307,7,6,121,94
09,Formosa,001,0007 ,0152,424,5,6,171,123
09,Formosa,001,0007 ,0153,424,7,6,167,133
09,Formosa,001,0007 ,0154,424,7,7,190,101
09,Formosa,001,0007 ,0155,424,8,9,172,128
09,Formosa,001,0007 ,0156,424,2,15,161,145
09,Formosa,001,0007 ,0157,424,11,14,170,126
09,Formosa,001,0007 ,0158,424,8,12,181,131
09,Formosa,001,0007 ,0159,424,14,14,151,131
09,Formosa,001,0007 ,0160,424,4,12,174,122
09,Formosa,001,0007 ,0161,424,7,10,139,165
09,Formosa,001,0007 ,0162,424,5,16,168,116
09,Formosa,001,0007 ,0163,424,12,7,169,137
09,Formosa,001,0007 ,0164,424,8,11,172,135
09,Formosa,001,0007 ,0165,424,2,7,150,146
09,Formosa,001,0007 ,0166,424,2,16,178,126
09,Formosa,001,0007 ,0167,424,5,10,164,143
09,Formosa,001,0007 ,0168,424,10,9,143,155
09,Formosa,001,0007 ,0650,416,11,4,132,124
09,Formosa,001,0007 ,0651,416,11,2,146,127
09,Formosa,001,0007 ,0652,416,9,10,160,106
09,Formosa,001,0007 ,0653,416,9,6,141,138
09,Formosa,001,0007 ,0654,416,6,4,163,115
09,Formosa,001,0007 ,0655,415,9,3,151,132
09,Formosa,001,0007 ,0656,415,14,7,131,125
09,Formosa,001,0007 ,0657,415,10,7,152,141
09,Formosa,001,0007 ,0658,415,6,10,160,113
09,Formosa,001,0007 ,0659,415,20,12,135,122
09,Formosa,001,0007 ,0660,415,9,0,131,128
09,Formosa,001,0007 ,0661,415,5,9,157,112
09,Formosa,001,0007 ,0662,415,11,4,167,112
09,Formosa,001,0007 ,0663,415,6,8,145,126
09,Formosa,001,0007 ,0664,415,14,4,165,112
09,Formosa,001,0007 ,0665,415,10,13,135,113
09,Formosa,001,0007 ,0666,415,5,8,146,130
09,Formosa,001,0008 ,0169,110,5,2,42,27
09,Formosa,001,0008 ,0667,95,1,0,33,20
09,Formosa,001,0008A,0170,330,10,2,138,105
09,Formosa,001,0008A,0171,329,10,3,129,109
09,Formosa,001,0008A,0172,329,8,1,136,101
09,Formosa,001,0008A,0173,329,11,1,144,101
09,Formosa,001,0008A,0668,330,1,2,125,95
09,Formosa,001,0008A,0669,330,5,8,135,66
09,Formosa,001,0008A,0670,330,5,4,117,106
09,Formosa,001,0008A,0671,329,7,4,136,98
09,Formosa,001,0008B,0174,383,2,2,189,106
09,Formosa,001,0008B,0175,383,1,4,166,112
09,Formosa,001,0008B,0672,407,7,6,156,103
09,Formosa,001,0008B,0673,406,1,4,164,113
09,Formosa,001,0009 ,0176,95,0,0,19,10
09,Formosa,001,0011 ,0177,321,7,3,167,68
09,Formosa,001,0011 ,0675,409,4,13,171,68
09,Formosa,001,0014 ,0178,67,1,2,26,16
09,Formosa,001,0014 ,0676,81,0,0,0,0
09,Formosa,001,0015 ,0179,84,0,0,16,12
09,Formosa,001,0016 ,0180,134,1,0,63,29
09,Formosa,001,0016 ,0678,130,2,0,67,28
09,Formosa,001,0017 ,0181,310,7,1,175,56
09,Formosa,001,0017 ,0679,346,0,0,183,65
09,Formosa,001,0017A,0182,108,2,3,44,15
09,Formosa,001,0017A,0680,142,3,7,53,30
09,Formosa,001,0017B,0183,51,0,0,5,6
09,Formosa,001,0018 ,0184,330,3,0,176,82
