codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0009,0014,0019,0020,0026,0030,0036,0037,0038,0044,0045,0050,0132,0134,0136,0154,0189,0190,0191,0192
21,Caseros                                 ,002,0368A,0081,900,61,3,50,54,6,0,44,6,22,0,6,4,2,8,226,2,278,26,0,44,2,2,2
21,Caseros                                 ,002,0368A,0082,900,40,0,36,42,8,0,54,2,24,0,2,2,4,2,234,4,246,28,0,28,0,0,0
21,Caseros                                 ,002,0368A,0083,900,37,6,36,82,2,0,34,0,20,2,2,4,0,2,218,6,234,32,6,28,8,0,4
21,Caseros                                 ,002,0368A,0084,900,74,7,44,46,6,0,26,0,16,4,4,2,6,2,248,2,266,24,0,12,2,2,2
21,Caseros                                 ,002,0368A,0085,715,22,0,18,46,4,0,36,2,28,0,6,10,0,6,222,4,224,16,0,52,2,0,2
21,Caseros                                 ,002,0368A,0086,450,4,10,26,10,2,1,19,2,6,0,1,1,1,1,131,1,111,9,0,21,0,0,1
21,Caseros                                 ,002,0368A,0087,450,42,0,17,15,2,0,9,0,9,0,1,4,0,0,102,1,129,11,0,15,0,1,1
21,Caseros                                 ,002,0368A,0088,450,73,7,9,25,1,0,9,0,13,0,0,0,1,2,89,1,104,10,0,9,2,2,0
21,Caseros                                 ,002,0368A,0089,450,38,0,10,12,0,2,22,2,8,1,1,0,0,1,107,1,106,18,1,21,0,0,1
21,Caseros                                 ,002,0368A,0090,291,23,0,8,14,0,0,10,1,4,0,2,1,0,1,68,0,82,5,0,11,2,0,0
21,Caseros                                 ,002,0368B,0086,96,9,0,5,4,1,0,2,0,2,0,0,0,0,0,13,0,29,3,0,4,0,0,1
21,Caseros                                 ,002,0368B,0091,96,8,0,1,4,0,0,2,2,2,0,0,1,0,0,22,0,15,1,0,1,0,0,0
21,Caseros                                 ,002,0368C,0087,57,5,0,1,3,0,0,1,0,2,0,0,0,0,0,14,0,9,1,0,7,0,0,0
21,Caseros                                 ,002,0368C,0092,56,3,0,1,3,0,0,1,0,0,0,0,0,0,0,14,0,13,1,0,1,0,0,0
21,Caseros                                 ,002,0368D,0088,8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,1,0,0
21,Caseros                                 ,002,0368D,0093,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0
21,Caseros                                 ,002,0369 ,0089,450,31,8,7,11,3,1,13,2,13,0,0,10,0,1,85,0,131,3,0,15,27,0,1
21,Caseros                                 ,002,0369 ,0090,80,3,0,2,2,0,0,3,0,0,0,0,0,0,0,9,1,38,0,0,2,2,0,0
21,Caseros                                 ,002,0369 ,0094,450,24,2,12,13,0,0,8,1,7,0,2,2,1,0,111,1,112,2,0,18,27,0,0
21,Caseros                                 ,002,0369 ,0095,95,4,2,1,1,0,0,5,0,1,0,0,0,0,0,25,0,25,0,0,3,6,0,0
21,Caseros                                 ,002,0370 ,0091,450,33,0,19,21,2,1,17,0,9,4,2,1,0,0,128,2,129,5,0,4,0,1,2
21,Caseros                                 ,002,0370 ,0092,450,45,0,20,18,2,0,23,0,11,0,0,2,1,0,101,1,127,2,1,14,5,0,1
21,Caseros                                 ,002,0370 ,0093,450,46,0,7,7,3,1,13,1,9,1,1,1,1,0,130,0,121,3,0,18,1,0,1
21,Caseros                                 ,002,0370 ,0094,450,36,5,13,9,1,0,12,1,11,1,2,1,1,0,115,0,153,4,1,10,0,2,3
21,Caseros                                 ,002,0370 ,0095,450,17,0,10,11,0,0,17,0,6,2,1,2,0,2,111,1,126,6,0,15,0,0,0
21,Caseros                                 ,002,0370 ,0096,900,63,2,14,46,4,0,28,2,30,4,2,6,0,2,284,4,278,8,4,18,2,0,2
21,Caseros                                 ,002,0370 ,0097,669,24,2,30,16,2,0,48,0,12,0,0,6,0,4,132,2,238,6,0,14,2,2,4
21,Caseros                                 ,002,0370 ,0098,450,30,5,3,7,1,0,13,0,17,1,0,0,0,2,157,0,114,15,0,0,2,0,1
21,Caseros                                 ,002,0370 ,0099,450,34,7,12,19,1,0,15,1,1,0,0,1,0,0,129,0,0,3,0,6,1,4,0
21,Caseros                                 ,002,0370 ,0100,450,20,7,9,20,0,1,12,2,6,1,1,1,1,0,139,1,123,2,0,9,1,0,0
21,Caseros                                 ,002,0370 ,0101,450,25,0,11,15,0,0,14,0,11,0,1,4,1,0,124,1,139,0,0,3,0,0,0
21,Caseros                                 ,002,0370 ,0102,395,25,0,7,14,1,0,8,0,6,0,1,6,0,0,143,0,111,2,0,8,0,1,0
21,Caseros                                 ,002,0371 ,0098,450,49,0,21,22,1,0,31,2,13,0,0,3,1,1,151,1,58,6,0,27,0,1,1
21,Caseros                                 ,002,0371 ,0099,450,35,0,0,52,1,0,26,1,11,1,2,2,1,0,114,0,97,2,1,15,3,1,2
21,Caseros                                 ,002,0371 ,0100,450,59,0,16,29,0,0,23,0,8,0,0,1,0,0,117,2,75,10,0,11,0,1,2
21,Caseros                                 ,002,0371 ,0101,450,58,0,15,15,2,0,35,2,8,0,1,0,1,0,122,2,64,7,2,18,0,0,0
21,Caseros                                 ,002,0371 ,0102,450,37,0,30,27,5,0,21,0,13,0,2,2,0,1,117,1,77,5,1,11,4,0,0
21,Caseros                                 ,002,0371 ,0103,511,49,0,32,52,0,0,42,2,22,0,0,8,0,0,280,0,110,4,2,42,2,2,0
