codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00024,00036,00037,00039,00050,00108
21,003,Castellanos,04615,084335,0,0,10,28,2,24,0,61,0
21,003,Castellanos,04616,084336,0,0,3,21,1,85,0,175,3
21,003,Castellanos,04616,084337,0,0,6,15,3,104,0,154,3
21,003,Castellanos,04616,084338,0,0,4,15,0,78,0,184,3
21,003,Castellanos,04616,084339,0,0,3,16,5,51,0,127,4
21,003,Castellanos,04617,084340,0,0,7,7,1,32,0,171,6
21,003,Castellanos,04618,084341,0,0,2,11,4,70,0,185,2
21,003,Castellanos,04618,084342,0,0,1,12,3,65,0,192,1
21,003,Castellanos,04618,084343,0,0,2,25,1,51,0,186,5
21,003,Castellanos,04618,084344,0,0,4,12,1,75,0,164,5
21,003,Castellanos,04618,084345,0,0,10,9,3,68,0,164,1
21,003,Castellanos,04618,084346,0,0,8,14,6,58,0,200,4
21,003,Castellanos,04618,084347,0,0,9,11,1,57,0,201,5
21,003,Castellanos,04618,084348,0,0,3,10,1,56,0,178,5
21,003,Castellanos,04618,084349,0,0,4,15,2,65,0,174,4
21,003,Castellanos,04618,084350,0,0,3,8,2,76,0,172,6
21,003,Castellanos,04618,084351,0,0,2,14,2,62,0,171,4
21,003,Castellanos,04618,084352,0,0,4,17,2,60,0,172,3
21,003,Castellanos,04618,084353,0,0,2,13,2,89,0,157,5
21,003,Castellanos,04618,084354,0,0,1,1,1,38,0,78,0
21,003,Castellanos,04619,084355,0,0,16,18,2,120,0,123,1
21,003,Castellanos,04619,084356,0,0,4,25,8,74,0,171,9
21,003,Castellanos,04619,084357,0,0,6,25,4,97,0,142,4
21,003,Castellanos,04619,084358,0,0,7,22,3,76,0,163,4
21,003,Castellanos,04619,084359,0,0,9,18,6,86,0,154,5
21,003,Castellanos,04619,084360,0,0,6,16,3,99,0,156,4
21,003,Castellanos,04619,084361,0,0,2,25,9,79,0,164,6
21,003,Castellanos,04619,084362,0,0,7,16,6,94,0,141,5
21,003,Castellanos,04619,084363,0,0,5,21,5,73,0,173,6
21,003,Castellanos,04619,084364,0,0,3,19,2,85,0,156,5
21,003,Castellanos,04619,084365,0,0,9,31,3,81,0,151,7
21,003,Castellanos,04619,084366,0,0,4,25,5,96,0,138,3
21,003,Castellanos,04619,084367,0,0,3,23,3,55,0,199,8
21,003,Castellanos,04619,084368,0,0,5,22,0,98,0,150,6
21,003,Castellanos,04619,084369,0,0,13,20,2,109,0,125,6
21,003,Castellanos,04619,084370,0,0,6,18,5,79,0,175,8
21,003,Castellanos,04619,084371,0,0,2,28,2,94,0,172,3
21,003,Castellanos,04619,084372,0,0,7,15,2,109,0,158,1
21,003,Castellanos,04619,084373,0,0,6,22,7,108,0,130,13
21,003,Castellanos,04619,084374,0,0,7,19,4,79,0,164,10
21,003,Castellanos,04619,084375,0,0,5,12,5,87,0,169,4
21,003,Castellanos,04619,084376,0,0,6,15,5,100,0,155,3
21,003,Castellanos,04619,084377,0,0,6,14,5,71,0,184,4
21,003,Castellanos,04619,084378,0,0,5,20,2,103,0,141,7
21,003,Castellanos,04619,084379,0,0,7,29,2,130,0,115,5
21,003,Castellanos,04619,084380,0,0,10,27,2,77,0,146,6
21,003,Castellanos,04619,084381,0,0,4,21,3,104,0,139,5
21,003,Castellanos,04619,084382,0,0,4,20,6,97,0,157,9
21,003,Castellanos,04619,084383,0,0,7,22,0,117,0,142,4
21,003,Castellanos,04619,084384,0,0,22,21,4,96,0,139,4
21,003,Castellanos,04619,084385,0,0,5,23,5,96,0,145,8
21,003,Castellanos,04619,084386,0,0,3,22,4,96,0,164,1
21,003,Castellanos,04619,084387,0,0,5,21,6,80,0,154,7
21,003,Castellanos,04619,084388,0,0,11,14,3,93,0,141,10
21,003,Castellanos,04619,084389,0,0,3,13,5,87,0,170,2
21,003,Castellanos,04619,084390,0,0,5,21,5,85,0,162,5
21,003,Castellanos,04619,084391,0,0,1,17,4,99,0,157,3
21,003,Castellanos,04619,084392,0,0,1,12,1,119,0,145,7
21,003,Castellanos,04619,084393,0,0,4,27,2,80,0,142,4
21,003,Castellanos,04619,084394,0,0,10,26,2,90,0,154,9
21,003,Castellanos,04619,084395,0,0,6,22,0,100,0,142,0
21,003,Castellanos,04619,084396,0,0,3,18,1,107,0,155,6
21,003,Castellanos,04619,084397,0,0,6,17,1,122,0,134,10
21,003,Castellanos,04619,084398,0,0,5,25,3,100,0,131,12
21,003,Castellanos,04619,084399,0,0,8,24,3,95,0,139,2
21,003,Castellanos,04619,084400,0,0,9,23,6,85,0,161,5
21,003,Castellanos,04619,084401,0,0,4,26,4,81,0,152,5
21,003,Castellanos,04619,084402,0,0,10,30,4,70,0,173,4
21,003,Castellanos,04619,084403,0,0,9,26,2,95,0,144,5
21,003,Castellanos,04619,084404,0,0,8,33,4,110,0,139,3
21,003,Castellanos,04619,084405,0,0,2,19,3,108,0,129,5
21,003,Castellanos,04619,084406,0,0,1,17,5,113,0,135,7
21,003,Castellanos,04619,084407,0,0,8,22,3,102,0,140,4
21,003,Castellanos,04619,084408,0,0,4,14,3,103,0,124,4
21,003,Castellanos,04620,084409,0,0,2,9,2,90,0,178,6
21,003,Castellanos,04620,084410,0,0,0,5,0,39,0,98,1
21,003,Castellanos,04620,084411,0,0,5,5,1,35,1,99,6
21,003,Castellanos,04621,084412,0,0,4,7,3,102,0,159,3
