"199","BIDEGAIN, Gloria Mercedes","Buenos Aires","#FFCCCC","A4621.jpg"
"200","BIELLA CALVET, Bernardo José","Salta","#CCFFFF","A50745.jpg"
"201","BIELSA, Rafael","Cdad.Aut.Bs.As.","#CCFFFF","A4466.jpg"
"202","BIGLIERI, María Emilia","Santa Fe","#FFCCCC",
"203","BINNER, Hermes Juan","Santa Fe","#CCFFFF","A50865.jpg"
"204","BISCHOF, Enrique","Tierra del Fuego","#CCFFFF",
"205","BISCIOTTI, Victorio Osvaldo","Buenos Aires","#CCFFFF",
"206","BISUTTI, Delia Beatriz","Cdad.Aut.Bs.As.","#FFCCCC","A4464.jpg"
"207","BIZZOTTO, Ileana","Santa Fe","#FFCCCC",
"208","BLANCO de PERALTA, Blanca","Santa Cruz","#FFCCCC","A4750.jpg"
"209","BLANCO, Jesus Abel","Buenos Aires","#CCFFFF","A4082.jpg"
"210","BLANCO, Oscar Alberto","Buenos Aires","#CCFFFF",
"211","BONACINA, Mario Hector","Santiago del Estero","#CCFFFF",
"212","BONACORSI, Juan Carlos","Buenos Aires","#CCFFFF","A4323.jpg"
"213","BONASSO, Miguel Luis","Cdad.Aut.Bs.As.","#CCFFFF","A4324.jpg"
"214","BONINO, Miguel Angel","San Luis","#CCFFFF",
"215","BONOMI, Silvia Mónica","Buenos Aires","#FFCCCC",
"216","BORDA, Osvaldo","Buenos Aires","#CCFFFF",
"217","BORDENAVE, Marcela Antonia","Buenos Aires","#FFCCCC",
"218","BORDIN CAROSIO, Hugo Antonio","Mendoza","#CCFFFF",
"219","BORRELLI, Osvaldo Martín","Cdad.Aut.Bs.As.","#CCFFFF",
"220","BORSANI, Luis Gustavo","Mendoza","#CCFFFF","A50953.jpg"
"221","BORTOLOZZI de BOGADO, Adriana Raquel","Formosa","#FFCCCC","A4083.jpg"
"222","BOSCH de SARTORI, Irene Miriam","Misiones","#FFCCCC","A4326.jpg"
"223","BOSSA, Mauricio","Córdoba","#CCFFFF","A4309.jpg"
"224","BOSSIO, Diego Luis","Buenos Aires","#CCFFFF","A50909.jpg"
"225","BOYADJIAN, Graciela Eunice","Tierra del Fuego","#FFCCCC","A50873.jpg"
"226","BRACCHI, Osvaldo Américo","Buenos Aires","#CCFFFF",
"227","BRANDA, Carlos Ernesto","Formosa","#CCFFFF",
"228","BRANDONI, Adalberto Luis","Buenos Aires","#CCFFFF",
"229","BRAVO, Alfredo Pedro","Cdad.Aut.Bs.As.","#CCFFFF",
"230","BRAVO, Leopoldo Alfredo","San Juan","#CCFFFF",
